Γ. ΑΠΕΙΚΟΝΙΣΗ – ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ ;;;
6609;K500001;ΜΥΕΛΟΓΡΑΦΙΑ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6610;K500011;ΑΝΕΝΕΡΓΟΣ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6611;K500041;ΑΚΤΙΝΟΓΡΑΦΙΑ ΟΦΘΑΛΜΙΚΟΥ ΚΟΓΧΟΥ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6612;K500181;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΑΤΩ ΓΝΑΘΟΥ ΜΕΡΙΚΗ ΕΤΕΡΟΠΛΕΥΡΗ (2 ΠΡΟΒΟΛΕΣ);ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6613;K500201;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΑΤΩ ΓΝΑΘΟΥ ΠΛΗΡΗΣ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6614;K500221;ΑΚΤΙΝΟΓΡΑΦΙΑ ΜΑΣΤΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6615;K500241;ΑΚΤΙΝΟΓΡΑΦΙΑ ΜΑΣΤΟΕΙΔΩΝ ΑΠΟΦΥΣΕΩΝ ΣΥΓΚΡΙΤΙΚΗ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6616;K500249;ΑΚΤΙΝΟΓΡΑΦΙΑ ΕΣΩ ΑΚΟΥΣΤΙΚΩΝ ΠΟΡΩΝ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6617;K500261;ΑΚΤΙΝΟΓΡΑΦΙΑ ΟΣΤΩΝ ΠΡΟΣΩΠΟΥ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6618;K500281;ΔΙΑΓΡΑΦΕΤΑΙ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6619;K500301;ΑΚΤΙΝΟΓΡΑΦΙΑ ΡΙΝΙΚΩΝ ΟΣΤΩΝ ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6620;K500321;ΔΑΚΡΥΟΚΥΣΤΟΓΡΑΦΙΑ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6621;K500361;ΑΝΕΝΕΡΓΟΣ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6622;K500381;ΑΝΕΝΕΡΓΟΣ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
6623;K500401;ΑΚΤΙΝΟΓΡΑΦΙΑ ΙΓΜΟΡΕΙΩΝ ΑΝΤΡΩΝ ΚΑΙ ΜΕΤΩΠΙΑΙΩΝ ΚΟΛΠΩΝ - ΠΩΓΩΝΟΡΙΝΙΚΗ ΠΡΟΒΟΛΗ;ΑΠΕΙΚΟΝΙΣΗ - ΕΠΕΜΒΑΤΙΚΕΣ ΚΑΙ ΘΕΡΑΠΕΥΤΙΚΕΣ ΑΚΤΙΝΙΚΕΣ ΠΡΑΞΕΙΣ
