expected_duration,cost,room_type
493,4150.14,Αίθουσα Επέμβασης
564,1647.7,Αίθουσα Επέμβασης
822,5967.16,Αίθουσα Επέμβασης
189,4751.17,Αίθουσα Επέμβασης
859,6019.64,Αίθουσα Επέμβασης
142,1597.7,Αίθουσα Επέμβασης
690,599.48,Αίθουσα Επέμβασης
623,9520.1,Αίθουσα Επέμβασης
812,8594.05,Αίθουσα Επέμβασης
77,7034.6,Αίθουσα Επέμβασης
392,8088.35,Αίθουσα Επέμβασης
115,6679.8,Αίθουσα Επέμβασης
703,947.14,Αίθουσα Επέμβασης
839,5779.69,Αίθουσα Επέμβασης
144,8958.77,Αίθουσα Επέμβασης
47,1004.65,Αίθουσα Επέμβασης
870,5014.78,Αίθουσα Επέμβασης
209,152.81,Αίθουσα Επέμβασης
552,1534.97,Αίθουσα Επέμβασης
650,9257.5,Αίθουσα Επέμβασης
223,9307.02,Αίθουσα Επέμβασης
207,5514.3,Αίθουσα Επέμβασης
777,7127.0,Αίθουσα Επέμβασης
669,262.66,Αίθουσα Επέμβασης
171,9647.37,Αίθουσα Επέμβασης
518,1954.6,Αίθουσα Επέμβασης
312,1833.86,Αίθουσα Επέμβασης
782,2459.9,Αίθουσα Επέμβασης
209,3354.68,Αίθουσα Επέμβασης
211,6205.72,Αίθουσα Επέμβασης
157,6821.83,Αίθουσα Επέμβασης
210,5071.37,Αίθουσα Επέμβασης
748,9866.13,Αίθουσα Επέμβασης
247,990.55,Αίθουσα Επέμβασης
537,7174.29,Αίθουσα Επέμβασης
490,4183.07,Αίθουσα Επέμβασης
344,3432.01,Αίθουσα Επέμβασης
860,8595.03,Αίθουσα Επέμβασης
779,892.48,Αίθουσα Επέμβασης
788,2694.1,Αίθουσα Επέμβασης
544,6563.83,Αίθουσα Επέμβασης
563,356.06,Αίθουσα Επέμβασης
34,3373.61,Αίθουσα Επέμβασης
130,8525.94,Αίθουσα Επέμβασης
218,3341.65,Αίθουσα Επέμβασης
674,2534.84,Αίθουσα Επέμβασης
591,8865.56,Αίθουσα Επέμβασης
361,2921.41,Αίθουσα Επέμβασης
553,4099.97,Αίθουσα Επέμβασης
573,6893.67,Αίθουσα Επέμβασης
65,3826.37,Αίθουσα Επέμβασης
307,7953.16,Αίθουσα Επέμβασης
581,2640.43,Αίθουσα Επέμβασης
613,250.24,Αίθουσα Επέμβασης
434,1112.79,Αίθουσα Επέμβασης
665,3638.63,Αίθουσα Επέμβασης
56,9012.06,Αίθουσα Επέμβασης
672,2560.13,Αίθουσα Επέμβασης
389,9288.49,Αίθουσα Επέμβασης
435,4398.66,Αίθουσα Επέμβασης
839,3552.94,Αίθουσα Επέμβασης
781,7771.27,Αίθουσα Επέμβασης
649,6181.29,Αίθουσα Επέμβασης
59,4644.5,Αίθουσα Επέμβασης
832,7699.07,Αίθουσα Επέμβασης
376,3955.09,Αίθουσα Επέμβασης
630,9673.61,Αίθουσα Επέμβασης
