expected_duration,cost,room_type
727,3215.39,Χειρουργείο
621,9659.09,Χειρουργείο
127,4458.29,Χειρουργείο
484,7121.89,Χειρουργείο
643,8593.47,Χειρουργείο
737,7253.96,Χειρουργείο
499,4264.93,Χειρουργείο
401,338.13,Χειρουργείο
455,2667.69,Χειρουργείο
401,6977.61,Χειρουργείο
322,3379.95,Χειρουργείο
251,7789.42,Χειρουργείο
285,7420.76,Χειρουργείο
540,8615.25,Χειρουργείο
443,7843.49,Χειρουργείο
54,5268.08,Χειρουργείο
429,8258.41,Χειρουργείο
337,4821.11,Χειρουργείο
115,1608.51,Χειρουργείο
728,3007.93,Χειρουργείο
721,1109.22,Χειρουργείο
640,6329.97,Χειρουργείο
246,8344.72,Χειρουργείο
777,9212.48,Χειρουργείο
129,2546.94,Χειρουργείο
869,5351.07,Χειρουργείο
755,4785.33,Χειρουργείο
95,1707.49,Χειρουργείο
773,9927.39,Χειρουργείο
101,2045.48,Χειρουργείο
131,4073.39,Χειρουργείο
293,4057.69,Χειρουργείο
271,4089.84,Χειρουργείο
761,1810.39,Χειρουργείο
452,4090.22,Χειρουργείο
371,5726.9,Χειρουργείο
621,6741.67,Χειρουργείο
796,8615.7,Χειρουργείο
804,6009.98,Χειρουργείο
85,8372.32,Χειρουργείο
676,4114.05,Χειρουργείο
630,9587.34,Χειρουργείο
153,100.91,Χειρουργείο
168,584.95,Χειρουργείο
748,2971.33,Χειρουργείο
144,6025.57,Χειρουργείο
603,4869.34,Χειρουργείο
843,9802.22,Χειρουργείο
371,5140.18,Χειρουργείο
669,2965.95,Χειρουργείο
373,456.43,Χειρουργείο
451,2218.62,Χειρουργείο
312,5387.63,Χειρουργείο
317,8302.65,Χειρουργείο
887,8546.26,Χειρουργείο
88,7828.34,Χειρουργείο
479,8884.83,Χειρουργείο
262,7823.72,Χειρουργείο
418,9185.97,Χειρουργείο
78,7584.87,Χειρουργείο
664,9051.62,Χειρουργείο
593,6901.83,Χειρουργείο
641,3034.02,Χειρουργείο
482,1902.15,Χειρουργείο
207,596.76,Χειρουργείο
419,6549.34,Χειρουργείο
325,2162.64,Χειρουργείο
622,8708.23,Χειρουργείο
628,1982.19,Χειρουργείο
507,4647.63,Χειρουργείο
119,5272.8,Χειρουργείο
133,2663.54,Χειρουργείο
222,1997.71,Χειρουργείο
527,1862.32,Χειρουργείο
252,7207.0,Χειρουργείο
171,1444.55,Χειρουργείο
320,3333.59,Χειρουργείο
550,4000.7,Χειρουργείο
806,2202.5,Χειρουργείο
489,3866.1,Χειρουργείο
143,5637.54,Χειρουργείο
163,6126.35,Χειρουργείο
139,3534.68,Χειρουργείο
113,7265.26,Χειρουργείο
276,9798.33,Χειρουργείο
818,1198.43,Χειρουργείο
433,4632.19,Χειρουργείο
487,7672.84,Χειρουργείο
590,9118.38,Χειρουργείο
650,7850.11,Χειρουργείο
36,3500.77,Χειρουργείο
359,4137.65,Χειρουργείο
861,9515.22,Χειρουργείο
283,4903.8,Χειρουργείο
382,7866.79,Χειρουργείο
797,8128.73,Χειρουργείο
774,9830.76,Χειρουργείο
394,1490.61,Χειρουργείο
138,5331.81,Χειρουργείο
843,8438.89,Χειρουργείο
47,9140.54,Χειρουργείο
451,7053.12,Χειρουργείο
410,5446.94,Χειρουργείο
227,8072.72,Χειρουργείο
378,8255.06,Χειρουργείο
533,2218.03,Χειρουργείο
83,5434.12,Χειρουργείο
267,7505.15,Χειρουργείο
746,6184.38,Χειρουργείο
510,3453.06,Χειρουργείο
212,7164.46,Χειρουργείο
226,6341.43,Χειρουργείο
745,4885.88,Χειρουργείο
773,1132.51,Χειρουργείο
75,8870.82,Χειρουργείο
10,3641.93,Χειρουργείο
187,6845.66,Χειρουργείο
258,5678.6,Χειρουργείο
150,9073.43,Χειρουργείο
729,1896.55,Χειρουργείο
100,3756.41,Χειρουργείο
689,2317.85,Χειρουργείο
538,2794.89,Χειρουργείο
719,7695.94,Χειρουργείο
845,9549.29,Χειρουργείο
708,2672.56,Χειρουργείο
719,8300.26,Χειρουργείο
425,9525.03,Χειρουργείο
446,3956.73,Χειρουργείο
710,8462.76,Χειρουργείο
295,9111.42,Χειρουργείο
301,732.67,Χειρουργείο
598,420.78,Χειρουργείο
124,2382.63,Χειρουργείο
836,4712.28,Χειρουργείο
703,2433.07,Χειρουργείο
71,9612.17,Χειρουργείο
246,2541.62,Χειρουργείο
78,9976.91,Χειρουργείο
553,7388.16,Χειρουργείο
156,3246.84,Χειρουργείο
144,1198.38,Χειρουργείο
266,6614.5,Χειρουργείο
632,5519.28,Χειρουργείο
126,5735.35,Χειρουργείο
122,4280.31,Χειρουργείο
386,7643.5,Χειρουργείο
331,8835.38,Χειρουργείο
115,470.31,Χειρουργείο
760,752.94,Χειρουργείο
113,5706.95,Χειρουργείο
323,5966.05,Χειρουργείο
556,5989.18,Χειρουργείο
705,5502.92,Χειρουργείο
233,2492.85,Χειρουργείο
659,295.02,Χειρουργείο
248,6970.68,Χειρουργείο
346,6618.94,Χειρουργείο
414,1938.98,Χειρουργείο
653,9352.92,Χειρουργείο
276,637.61,Χειρουργείο
849,6918.17,Χειρουργείο
673,443.15,Χειρουργείο
339,2056.98,Χειρουργείο
114,4980.03,Χειρουργείο
54,7175.53,Χειρουργείο
144,6473.5,Χειρουργείο
642,2932.24,Χειρουργείο
83,9597.98,Χειρουργείο
28,7178.05,Χειρουργείο
122,5111.6,Χειρουργείο
601,5533.43,Χειρουργείο
404,7455.69,Χειρουργείο
652,9792.08,Χειρουργείο
759,1869.23,Χειρουργείο
431,596.81,Χειρουργείο
591,8760.62,Χειρουργείο
680,3868.53,Χειρουργείο
285,8109.67,Χειρουργείο
596,5807.59,Χειρουργείο
401,5702.65,Χειρουργείο
414,9252.07,Χειρουργείο
558,3208.65,Χειρουργείο
429,5219.16,Χειρουργείο
642,9260.76,Χειρουργείο
545,8390.37,Χειρουργείο
550,6779.43,Χειρουργείο
19,5815.4,Χειρουργείο
387,2672.12,Χειρουργείο
398,5141.4,Χειρουργείο
271,253.24,Χειρουργείο
10,6979.0,Χειρουργείο
382,15.12,Χειρουργείο
506,1310.01,Χειρουργείο
362,8047.56,Χειρουργείο
604,9463.88,Χειρουργείο
714,4431.48,Χειρουργείο
633,5577.82,Χειρουργείο
167,5985.12,Χειρουργείο
135,4700.96,Χειρουργείο
683,8373.73,Χειρουργείο
122,1957.15,Χειρουργείο
95,2345.2,Χειρουργείο
659,3208.17,Χειρουργείο
799,8110.0,Χειρουργείο
279,5640.98,Χειρουργείο
471,5320.23,Χειρουργείο
283,2487.32,Χειρουργείο
866,7979.08,Χειρουργείο
102,9909.0,Χειρουργείο
496,1178.78,Χειρουργείο
483,1174.51,Χειρουργείο
848,1927.83,Χειρουργείο
250,4585.37,Χειρουργείο
667,8775.56,Χειρουργείο
740,799.41,Χειρουργείο
900,2796.47,Χειρουργείο
710,2136.29,Χειρουργείο
678,593.9,Χειρουργείο
188,1222.42,Χειρουργείο
673,4312.5,Χειρουργείο
584,9448.84,Χειρουργείο
486,3796.96,Χειρουργείο
662,6625.56,Χειρουργείο
432,9262.21,Χειρουργείο
103,7496.47,Χειρουργείο
633,8508.3,Χειρουργείο
147,4867.27,Χειρουργείο
398,8527.39,Χειρουργείο
758,6898.91,Χειρουργείο
255,6603.53,Χειρουργείο
653,8600.64,Χειρουργείο
747,545.5,Χειρουργείο
698,3028.79,Χειρουργείο
400,6037.38,Χειρουργείο
753,3484.92,Χειρουργείο
749,453.67,Χειρουργείο
800,8980.11,Χειρουργείο
637,7894.84,Χειρουργείο
454,6197.31,Χειρουργείο
677,5108.52,Χειρουργείο
664,5844.49,Χειρουργείο
384,5682.73,Χειρουργείο
330,3960.97,Χειρουργείο
719,2095.42,Χειρουργείο
603,858.76,Χειρουργείο
651,1345.99,Χειρουργείο
237,3336.14,Χειρουργείο
455,6620.52,Χειρουργείο
88,3712.61,Χειρουργείο
138,5051.19,Χειρουργείο
715,8424.42,Χειρουργείο
213,7853.42,Χειρουργείο
665,3798.68,Χειρουργείο
30,9552.9,Χειρουργείο
863,541.98,Χειρουργείο
836,5359.01,Χειρουργείο
114,6755.03,Χειρουργείο
695,4626.3,Χειρουργείο
137,2163.65,Χειρουργείο
683,4196.52,Χειρουργείο
637,2086.61,Χειρουργείο
249,1472.29,Χειρουργείο
373,9372.43,Χειρουργείο
277,4491.05,Χειρουργείο
